Bin:0.182893037796 List:0.054358959198 RTree:1.5766119957
Bin:0.94656085968  List:0.259029865265 RTree:13.4262461662
Bin:6.42845416069  List:1.32607102394  RTree:148.572293997
Bin:15.9821579456  List:2.27993083     RTree:336.619549036
Bin:26.1261291504  List:3.63189792633  RTree:652.382917881
Bin:57.255261898   List:6.16798186302  RTree:1822.98652411
Bin:106.659002066  List:8.15377211571  RTree:2779.57837605
Bin:148.118555069  List:10.4676661491  RTree:4157.43692398
Bin:225.98278594   List:14.7663431168  RTree:8089.84308577
Bin:474.798663139  List:19.7425169945  RTree:14524.553452
Bin:703.979739904  List:25.1439478397  RTree:24390.164577
Bin:4.64412403107  List:0.222081899643 RTree:1.88229393959
Bin:1.05447506905  List:0.349782943726 RTree:16.4381008148
Bin:5.69114303589  List:1.61867594719  RTree:171.220374823
Bin:10.0840210915  List:2.61365294456  RTree:381.150584936
Bin:17.9536180496  List:3.7833070755   RTree:753.386073828
Bin:35.0658638477  List:6.97411704063  RTree:2219.20584321
Bin:57.4193480015  List:8.83277988434  RTree:3541.66545105
Bin:76.0673718452  List:10.9477710724  RTree:5347.60212612
Bin:130.302449942  List:14.7172951698  RTree:10882.3875721
Bin:254.23842597   List:20.6336100101  RTree:20386.0346348
Bin:418.272815943  List:27.2211101055  RTree:34225.098366
Bin:0.346197843552 List:0.200558900833 RTree:2.360683918
Bin:1.37312889099  List:0.4730489254   RTree:17.6806750298
Bin:6.37430095673  List:1.95648002625  RTree:175.573004961
Bin:11.4063057899  List:2.96979188919  RTree:386.460300922
Bin:20.1711039543  List:4.81121015549  RTree:762.119018078
Bin:42.2888138294  List:8.38769292831  RTree:1773.11486793
Bin:66.0278961658  List:10.0075571537  RTree:3567.70236206
Bin:88.7016880512  List:11.6924469471  RTree:5393.38759995
Bin:151.327741146  List:17.9909229279  RTree:11116.4785459
Bin:284.370765924  List:26.0570890903  RTree:20542.8279479
Bin:439.433182001  List:33.1632461548  RTree:34530.0303729

